Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Deshe deshe galpa : prachyaaru paschaiyatya,NA,Author :,"Guwahati, Assam Prakashan Parishad, 1972",1st ed,Textual Document,Paper,"viii, 310p",Assamese literature; Fiction; Short Stories; Short Stories from Foreign Literature; Translated Literature
Aru ati amimangsita hatya,NA,"Deka, P","Guwahati, Lawyers Book Stall, 1970",1st ed,Textual Document,Paper,347p,Assamese literature; Fiction
"Bishasahityar aksata sadhu, akahan aru atihahik galpa",NA,Indusri,Publisher & Place :,1st ed,Textual Document,Paper,347p,Assamese literature; Fiction
"Sundar Srimata Sankardev aru Jyotiprasad, Bishnu Prasad",NA,"Das, Tilak","Guwahati, Jyoti, 1992",1st ed,Textual Document,Paper,189p,Assamese literature; Biographies
Itihase sakiyai,NA,"Deka, Hitesh","Guwahati, Soborani Deka, 1980",1st ed,Textual Document,Paper,189p,Assamese literature; Novel
A-samayat chain deshat,NA,"Barthakur, Dulal Chandra","Guwahati, Lawyers Book Stall, 1956",1st ed,Textual Document,Paper,189p,Assamese literature; Story
Mrityur para amritaloi,NA,"Bezbarua, Aditi","Jorhat, Jayaditya, 2001",1st ed,Textual Document,Paper,189p,Assamese literature; Novel
Sahitya- vidya parikrama,NA,"Sarma, T","Pathsala, Bani Prakashan, 1962",1st ed,Textual Document,Paper,255p,Assamese literature
Enraji romantic kavya sahityar jilinani,NA,"Saloi, Padmaram","Chanmaguri, Saloi Prakashan, 1994",1st ed,Textual Document,Paper,74p,Assamese literature; Romantic poet
Gora,NA,"Tagore, R N",Publisher & Place :,1st ed,Textual Document,Paper,74p,Assamese literature; Gora
Natak man aru mancha,NA,"Barua, Prafulla Kumar","Guwahati, Purbanchal Prakashan, 1987",1st ed,Textual Document,Paper,74p,Assamese literature; Drama
Jowanbandi,NA,"Shah, Imran","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,196p,Assamese literature
Raghunath Chaudhary rachanawali,NA,"Chaudhury, Raghunath","Jorhat, Asam Sahitya Sabha, 1980",1st ed,Textual Document,Paper,674p,Assamese literature; Literary collection; Raghunath Chaudhury
Loha,NA,"Bora, Dhrubajyoti","Guwahati, Student Stores, 1985",1st ed,Textual Document,Paper,674p,Assamese literature; Novel
Biswas aru sammanayar mazedi,NA,"Borgohain, Nirupana",Publisher & Place :,1st ed,Textual Document,Paper,674p,Assamese literature; Novel; Biswas
Anadaram dhekial phukanar jiban charit,NA,"Barua, Gunabhiram","Guwahati, Chandra Prasad, 1971",1st ed,Textual Document,Paper,99p,Assamese literature; Anadaram dhekial; Biography
Kinkinir kalanka,NA,"Kishore, Kumar","Guwahati, Guwahati Book Stall, 1970",1st ed,Textual Document,Paper,99p,Assamese literature; Novel
Asamiya sahityar adhyan,NA,"Neog, Dimbeswar","Guwahati, Shwani, 1964",1st ed,Textual Document,Paper,99p,Assamese literature
Sukhar sangsar,NA,"Deka, Hitesh","Guwahati, Soba Rani Deka, 1975",1st ed,Textual Document,Paper,"ii, 408p",Assamese literature; Novel
Ankawali,NA,Author :,"Guwahati, Jyonti Art, 1950",1st ed,Textual Document,Paper,317p,Assamese literature; Drama
Tora aru boka,NA,"Gohain, Hiren","Guwahati, Student Stores, 1993",1st ed,Textual Document,Paper,317p,Assamese literature; Novel
Asamiya sahityar Paramacharya Pandit Hemchandra Goswami,NA,"Sarma, B","Jorhat, Asam Sahitya Sabha, 1972",1st ed,Textual Document,Paper,130p,Assamese literature; Biography
Radhakanta sandikai dangariya,NA,"Bhuyan, N C","Jorhat, Asm Sahitya Sabha, 1961",1st ed,Textual Document,Paper,160p,Assamese literature; Story
Prasanga-kosh,NA,"Sattar, A","Assam, A. Sattar, 1963",1st ed,Textual Document,Paper,"xxi, 244p",Assamese languages; Dictionary
Jayanta Hazarika,NA,"Patel, Stuti","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,629p,Assamese literature
Basanar zue pura hia,NA,"Bora, Narendra Nath","[S.l.], [s.n.], 2001",1st ed,Textual Document,Paper,111p,Assamese literature; Fiction
Sahitya : prasya aru pasattya,NA,"Pathak, Datananda","Guwahati, Chandra Prakashan, 1999",1st ed,Textual Document,Paper,111p,Assamese literature
Saru manuhar khang : prasya aru pasattya,NA,"Sarma, Jiten","Guwahati, Janaki Prakashan, 1994",1st ed,Textual Document,Paper,172p,Assamese literature; Novel
Sahitya Beethika : A collection of literature appreciation,NA,"Pathak, Jnyanananda sharma","Guwahati, Sabinay, 1993",1st ed,Textual Document,Paper,172p,Assamese
Pikingar chithi : A collection of literature appreciation,NA,"Buck, Pearl S","Guwahati, Lawyers Book Stall, 1992",1st ed,Textual Document,Paper,172p,Assamese
Sonar kharu tomar babe : A collection of literature appreciation,NA,"Baruah, Dhiren","Sivasagar, Udayan, 1997",1st ed,Textual Document,Paper,349p,Assamese fiction
Asramar mriga : A collection of literature appreciation,NA,"Sarma, Narendranath","Guwahati, Lawyers Book Stall, 1995",1st ed,Textual Document,Paper,349p,Assamese
Anya akash anya tara : A collection of literature appreciation,NA,"Malik, Abdul","Guwahati, Dutta Baruah & Co, 1962",1st ed,Textual Document,Paper,248p,Assamese; Fiction
Surujmukhir swapna : A collection of literature appreciation,NA,"Malik, Syed Abdul","Guwahati, Bhabani, 1983",1st ed,Textual Document,Paper,248p,Assamese; Fiction
Bih metekar phul : A collection of literature appreciation,NA,"Malik, Abdul","Tinsukia, Mitra Agency, 1969",1st ed,Textual Document,Paper,248p,Assamese; Fiction
Amar-maya : A collection of literature appreciation,NA,"Malik, Syed Abdul","Tinsukia, Mitra Agency, 1970",1st ed,Textual Document,Paper,248p,Assamese; Fiction
Sapoon surabhi : A collection of literature appreciation,NA,"Barman, Phulen","Guwahati, Lawyers Book Stall, 1976",1st ed,Textual Document,Paper,603p,Assamese literature; Fiction
Gadhuli lagna : A collection of literature appreciation,NA,"Hazarika, Ghana","Guwahati, Gauhati Book Stall, 1974",1st ed,Textual Document,Paper,603p,Assamese; Fiction
Nandantattra : pracya aru pascatya,NA,"Goswami, Trailokya Nath","Dibrugarh, Department of Assamese, Dibrugarh University, 1980",1st ed,Textual Document,Paper,"x, 385p",Assamese
Asamiya byakaran aru bharatatra : pracya aru pascatya,NA,"Medhi, Kaliram","Guwahati, Assam Publication Board, 1978",2nd ed,Textual Document,Paper,"x, 385p",Assamese
Samaj samiksha : aparadh aru anachar,NA,"Sengupta, Nandagopal","Tinsukia, Mitra Agency, 1970",1st ed,Textual Document,Paper,192p,Assamese literature
Ankia nat : a collection of fifteen assamese dramas written by Sankardeva Madhabdeva and Gopaldera,NA,"Barua, B K","Guwahati, Department of Historical and Antiquarian Studies, 1940",1st ed,Textual Document,Paper,293p,Assamese; Drama
Dhanya nara tanu bhal : a collection of fifteen assamese dramas written by Sankardeva Madhabdeva and Gopaldera,NA,"Malik, Abdul","Guwahati, Student Stores, 1987",1st ed,Textual Document,Paper,293p,Assamese; Fiction
Asamiya nat sahitya : a collection of fifteen assamese dramas written by Sankardeva Madhabdeva and Gopaldera,NA,"Sarma, Satyendranath","Guwahati, New Book Stall, 1973",1st ed,Textual Document,Paper,"vii, 189p",Assamese literature; Drama
Jayanta Hazarika : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Patel, Stuti","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,356,Assamese; Biography
Nirbachita sampadakiya : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Saikia, Chandra Prasad","Guwahati, Banalata, 1995",1st ed,Textual Document,Paper,"x,418p",Assamese literature
Nirmalprarar git aru narir jiban nadi : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Datta, Dilip Kumar","Kolkata, Shri Bhumi, 1985",1st ed,Textual Document,Paper,356,Assamese
Basanar zue pura hia : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Bora, Narendra Nath","Guwahati, Narendra Nath Bora, 2001",1st ed,Textual Document,Paper,407p,Assamese
Raktim artanaad : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Hazarika, Ranju","Guwahati, Banalata, 1995",1st ed,Textual Document,Paper,407p,Assamese literature; Fiction
Maraha papori : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Malik, Abdul","Guwahati, Mitra Agency, 1994",3rd ed,Textual Document,Paper,407p,Assamese
Desh bideshar sahitya : a collection of essays on renowned music composer and singer late Jayanta Hazarika,NA,"Sarma, Upendra Nath","Nalbari, Journal Emporium, 1993",1st ed,Textual Document,Paper,407p,Assamese literature
Darshanar kahini,NA,"Datta, Nilima","Guwahati, ABILAC, 1995",1st ed,Textual Document,Paper,407p,Assamese literature
Daiba chakra,NA,"Bhattacharya, D N","Kolkata, Dipti Printing, 1956",1st ed,Textual Document,Paper,431p,Assamese literature
Parinati,NA,"Devi, Maya","Guwahati, Oriental, 1965",1st ed,Textual Document,Paper,431p,Assamese literature; Fiction
Sahitya : prasya aru pasattya,NA,"Pathak, Bhubaneswar","Guwahati, Chandra, 1999",1st ed,Textual Document,Paper,340p,Assamese literature
Prabandha manzari : prasya aru pasattya,NA,"Deka, Bhubaneswar","Guwahati, Bina Library, 1989",1st ed,Textual Document,Paper,340p,Assamese literature
Haytoba bhekhsan aru anyanya galpa : prasya aru pasattya,NA,"Das, Debabrat","Guwahati, Purbanchal Prakashan, 1987",1st ed,Textual Document,Paper,125p,Assamese literature; Assamese story
Natya kala aru abhinai silpa : prasya aru pasattya,NA,"Das, Badal","Guwahati, Girija Das, 2001",2nd ed,Textual Document,Paper,369p,Assamese literature; Drama
Itihash charcha : prasya aru pasattya,NA,"Choudhury, Prasenjit","Guwahati, Chetana Prakashan, 1995",1st ed,Textual Document,Paper,683p,Assamese literature
Jiwan Sandhya : prasya aru pasattya,NA,"Dutta, Bharati","Guwahati, Banimandir, 1996",1st ed,Textual Document,Paper,205p,Assamese literature
Samayar pakhi ghorat uthi : prasya aru pasattya,NA,"Hazarika, Bhupen","Guwahati, Bani Mandir, 1993",2nd ed,Textual Document,Paper,124p,Assamese literature
Mohanagari : prasya aru pasattya,NA,"Barua, Punya","Guwahati, Madhu Prakashan, 1994",1st ed,Textual Document,Paper,"ix,353p",Assamese literature; Fiction
Prakrit sahitya chayan : prasya aru pasattya,NA,"Thakur, Nagen","Guwahati, Bina Library, 1989",1st ed,Textual Document,Paper,400p,Assamese literature; Critical analysis
Navakanta barur gharuamel : prasya aru pasattya,NA,"Sharma, Suresh","Guwahati, Lawyers Book Stall, 1999",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature; Fiction
Bharatiya kahini : prasya aru pasattya,NA,"Bhattacharya, Mohendra Nath","Guwahati, Nabagiri, 1971",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature; Fiction
Bibhatsa bedana : prasya aru pasattya,NA,"Malik, Syed Abdul","Calcutta, Bhabani, 1978",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature; Short story
Siyala baisnab mahanta sambat sarar kahini : prasya aru pasattya,NA,"Nath, Bharatchandra","Darang, Nareswar Medhi, 1989",1st ed,Textual Document,Paper,208p,Assamese literature; Biographical sketches
Kowar bidroh : prasya aru pasattya,NA,"Bhuyan, Surya Kumar","Guwahati, Lawyers Book Stall, 1948",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature
Swagat : prasya aru pasattya,NA,"Sarma, Hemchandra","Guwahati, Chila Rai, 1962",1st ed,Textual Document,Paper,208p,Assamese literature
Pathar sandhan : prasya aru pasattya,NA,"Changkakati, Tarun Chandra","Jorhat, Tarun Chandra, 1973",1st ed,Textual Document,Paper,208p,Assamese literature
Saudar puteke nae mali jaya : prasya aru pasattya,NA,"Burgohain, Homan","Guwahati, Student Stores, 1987",1st ed,Textual Document,Paper,208p,Assamese literature; Fiction
Ramayan : prasya aru pasattya,NA,"Kaldali, Madhab","Guwahati, Lawyers Book Stall, 1989",1st ed,Textual Document,Paper,208p,Assamese literature
Bhasa sahitya adhyayan : prasya aru pasattya,NA,"Konwar, Arpana","Dibrugarh, Banalata, 1995",1st ed,Textual Document,Paper,"xxxviii, 435p",Assamese literature
Avinashi : prasya aru pasattya,NA,"Sharma, Narendranath","Guwahati, Chandra Prakashan, 1997",1st ed,Textual Document,Paper,608p,Assamese literature
Sukhar sandhan : prasya aru pasattya,NA,Russell Bertrand,"Guwahati, Assam Prakashan Parishad, 1964",1st ed,Textual Document,Paper,190p,Assamese literature; Literary essay; Assamese Essays
Bibhinna narak : prasya aru pasattya,NA,"Borgohain, Homen","Guwahati, Student Stores, 1945",1st ed,Textual Document,Paper,"ix,279p",Assamese literature
Sankardevar sahitya pratibha : prasya aru pasattya,NA,"Daloi, H N Sarma","Barpeta, S Devi, 1980",1st ed,Textual Document,Paper,326p,Assamese literature; Sankardevar
Path samiksa prasangat : prasya aru pasattya,NA,"Thakuria, Ramcharan","Pathsala, Assam Sahitya Sabha, 1981",1st ed,Textual Document,Paper,310p,Assamese literature
Diyung nadir geet : prasya aru pasattya,NA,"Bara, Swarna","Guwahati, Lawyers Book Stall, 1985",1st ed,Textual Document,Paper,310p,Assamese literature; Novel
Charai uronia : prasya aru pasattya,NA,"Goswami, Mamoni Raisom","Guwahati, Mamoni, 1984",1st ed,Textual Document,Paper,310p,Assamese literature
Bharatiya cinta : prasya aru pasattya,NA,"Shastri, Bishwa Narayan","Guwahati, Publication Board, 1960",1st ed,Textual Document,Paper,214p,Assamese literature
Tej aru dhulire dhukharit prishta : prasya aru pasattya,NA,"Goswami, Mamoni Raisom","Guwahati, Student Stores, 1945",1st ed,Textual Document,Paper,"x,418p",Assamese literature; Novel
Katha kowa gach : prasya aru pasattya,NA,"Pathak, G","Guwahati, LBS Publications, 1992",1st ed,Textual Document,Paper,"xxxxiii,352p",Assamese literature
Milinda prasna : prasya aru pasattya,NA,"Das, D. N","Calcutta, Mohabodhi Society, 1972",1st ed,Textual Document,Paper,363p,Assamese literature; Tripitak; Novel
Sahitya susama : prasya aru pasattya,NA,"Kalita, Sadi Ram","Nalbari, Purbabharati, 2001",1st ed,Textual Document,Paper,65p,Assamese literature; Literary article
Ballaree : prasya aru pasattya,NA,"Bhattacharya, Birendra Kumar","Guwahati, Lawyers Book Stall, 1973",1st ed,Textual Document,Paper,"ii, 175p",Assamese Literature; Hinduism; Radhasoami
Deuri sabdamala : prasya aru pasattya,NA,"Goswami, Upendranath","Jorhat, Nagen Saikia, 1981",1st ed,Textual Document,Paper,290p,Assamese language; Deuri
Assamese proverbs : prasya aru pasattya,NA,"Borua, Profulla Chandra","Guwahati, Prafulla Chandra Barua, 1962",1st ed,Textual Document,Paper,"iv, 280p",Folklore; Proverbs-Assamese
Guru charit katha : prasya aru pasattya,NA,"Neog, Maheswar","Guwahati, Gauhati University, 1987",1st ed,Textual Document,Paper,"iv, 280p",Assamese literature; Guru charit
Kalidasar pratibha : prasya aru pasattya,NA,"Sarma, Jogeswar","Guwahati, Lawyers Book Stall, 1991",1st ed,Textual Document,Paper,"viii, 272p",Assamese literature; Kalidas
Pratham pratishruti : prasya aru pasattya,NA,"Kalita, Arunamayee","Mirza, Bhabesh Kumar, 2001",1st ed,Textual Document,Paper,"viii, 272p",Assamese literature
Songramei jar jeevan : prasya aru pasattya,NA,"Sarma, Jiten","Guwahati, Banalata, 1996",1st ed,Textual Document,Paper,360p,Assamese literature; Biography
Pramika : prasya aru pasattya,NA,"Barva, Nabin","Jorhat, Ramen Choudhury, 1970",1st ed,Textual Document,Paper,147p,Assamese literature; Novel; Pramika
Kamal gandhar : prasya aru pasattya,NA,"Bhaduri, Tarun Kumar",Publisher & Place :,1st ed,Textual Document,Paper,147p,Assamese literature; Novel
Shrestha galpa : prasya aru pasattya,NA,"Devi, Sneha","Pathsala, Bani Prakashan, 1981",1st ed,Textual Document,Paper,250p,Assamese literature; Short story; Fiction
Kumayunara narakhadak : prasya aru pasattya,NA,"Jeem, Robert","Guwahati, Dutta Baruah & Co, 1978",1st ed,Textual Document,Paper,250p,Assamese literature; Story
Asamiya galpa sankalan : prasya aru pasattya,NA,Author :,"Guwahati, Asom prakashan parishad, 1976",1st ed,Textual Document,Paper,369p,Assamese literature; Assamese story; Assamese story collection
Prabandhawali : prasya aru pasattya,NA,"Bhumananda, Swami","Guwahati, Swami Prakashnanda, 1991",2nd ed,Textual Document,Paper,"LX,416p",Assamese literature; Literary article
Bikramorbbeshi : prasya aru pasattya,NA,Kalidasa,Publisher & Place :,1st ed,Textual Document,Paper,313p,Assamese literature; Drama; Bikramorbbeshi
Sahitya upakramanika : prasya aru pasattya,NA,"Bora, Mahendra","Barua Bamungaon, Student Stores, 1985",1st ed,Textual Document,Paper,313p,Assamese literature; Sahitya upakramanika
Asamiya sadhu : prasya aru pasattya,NA,"Das, Arjun Chandra","Barpeta, Anirudho, 1962",1st ed,Textual Document,Paper,313p,Assamese literature; Story; Asamiya sadhu
Charita dasakar phachal upanyash samagra,NA,"Borgohai, Homen","Guwahati, Student Stores, 1998",1st ed,Textual Document,Paper,144p,Assamese literature; Fiction; Upanyash samagra
Natak aru abhinay prasanga,NA,"Barua, Satya Prasad","Gauhati, Niharendra Choudhury, 1983",1st ed,Textual Document,Paper,144p,Assamese literature; Natak
Nabi katha,NA,"Barua, Atul Chandra","Guwahati, Lawyers Book Stall, 1963",1st ed,Textual Document,Paper,131p,Assamese literature; Fiction; Anecdotes
Asamiya chutigalpar adhyayan,NA,"Barua, Prahlad","Guwahati, Banalata, 1995",1st ed,Textual Document,Paper,131p,Assamese literature; Chutigalpa
Asamiya aru asamar tibbat barmiya bhasa,NA,"Hakacham, U R","Dhupdhara, Manjula Rabha, 2000",1st ed,Textual Document,Paper,131p,Assamese language; Tibeto-Burman language
Narendra Narayan Choudhuryer Galpa,NA,"Sarma, Hemanta Narayan","Guwahati, Chandra Prasad, 1978",1st ed,Textual Document,Paper,347p,Assamese literature; Fiction
Rupantar,NA,"Narayan, Prem","Guwahati, Mani Manik Prakash, 1956",1st ed,Textual Document,Paper,89p,Assamese literature; Story
Galpa samagra,NA,"Bora, Mohin","Guwahati, Golok Roymedhi Smriti Prakashan, 1993",1st ed,Textual Document,Paper,89p,Assamese literature; Short story
Natak aru abhinay,NA,"Barua, Satya Prasad","Guwahati, Lawyers Book Stall, 1967",1st ed,Textual Document,Paper,154p,Assamese literature; Natak
Asamar janajati,NA,"Bhatacharyya, Promad","Guwahati, Lawyers Book Stall, 1962",1st ed,Textual Document,Paper,189p,Assamese literature; Asamar janajati
Asamiya aru Rabha Samaj sanskritir swarup,NA,"Rabha, Malina Devi","Dhupdhara, M F L Publications, 1999",1st ed,Textual Document,Paper,189p,Assamese literature; Folklore; Rabha Samaj
Ananda Ram Dhekal Phookan,NA,"Phookan, Ananda Ram","Guwahati, Lawyers Book Stall, 1977",1st ed,Textual Document,Paper,189p,Assamese literature
Bishnu Rabhar sangrami aabha,NA,"Bora, Debendra Nath","Dibrugarh, Bani Mandir, 1996",1st ed,Textual Document,Paper,189p,Assamese literature; Bishnu Rabha
Tara aro boka,NA,"Gohai, Hiren","Guwahati, Student Stores, 1993",1st ed,Textual Document,Paper,189p,Assamese literature; Novel
Sahitya daushan,NA,"Sastri, Monoronjon",Publisher & Place :,1st ed,Textual Document,Paper,255p,Assamese literature; Sahitya daushan
Sri Sankar Bakyamitra,NA,"Dutta Barua, Hari Naryan","Guwahati, Dutta Baruah & Co, 1964",1st ed,Textual Document,Paper,255p,Assamese literature; Sankar Bakyamitra
